feature,nan_ratio
loan_amnt,0.0
annual_inc,0.0
dti,0.0
delinq_2yrs,0.0
fico_range_low,0.0
fico_range_high,0.0
inq_last_6mths,0.0
mths_since_last_delinq,0.484361011173
mths_since_last_record,0.823282157233
open_acc,0.0
pub_rec,0.0
revol_bal,0.0
total_acc,0.0
acc_now_delinq,0.0
tot_coll_amt,0.0
tot_cur_bal,0.0
open_acc_6m,0.94924660706
open_il_6m,0.94924660706
open_il_12m,0.94924660706
open_il_24m,0.94924660706
mths_since_rcnt_il,0.950581222764
total_bal_il,0.94924660706
il_util,0.955789073724
open_rv_12m,0.94924660706
open_rv_24m,0.94924660706
max_bal_bc,0.94924660706
all_util,0.94924660706
total_rev_hi_lim,0.0
inq_fi,0.94924660706
total_cu_tl,0.94924660706
inq_last_12m,0.94924660706
acc_open_past_24mths,0.0
avg_cur_bal,0.0
bc_open_to_buy,0.00941117800021
bc_util,0.0100381149147
chargeoff_within_12_mths,0.0
delinq_amnt,0.0
mo_sin_old_il_acct,0.0291003217801
mo_sin_old_rev_tl_op,0.0
mo_sin_rcnt_rev_tl_op,0.0
mo_sin_rcnt_tl,0.0
mort_acc,0.0
mths_since_recent_bc,0.00901934242867
mths_since_recent_bc_dlq,0.742100951092
mths_since_recent_inq,0.105911967608
mths_since_recent_revol_delinq,0.639660884124
num_accts_ever_120_pd,0.0
num_actv_bc_tl,0.0
num_actv_rev_tl,0.0
num_bc_sats,0.0
num_bc_tl,0.0
num_il_tl,0.0
num_op_rev_tl,0.0
num_rev_accts,2.37476103967e-06
num_rev_tl_bal_gt_0,0.0
num_sats,0.0
num_tl_120dpd_2m,0.0456666547929
num_tl_30dpd,0.0
num_tl_90g_dpd_24m,0.0
num_tl_op_past_12m,0.0
pct_tl_nvr_dlq,0.0
percent_bc_gt_75,0.0100666120472
pub_rec_bankruptcies,0.0
tax_liens,0.0
tot_hi_cred_lim,0.0
total_bal_ex_mort,0.0
total_bc_limit,0.0
total_il_high_credit_limit,0.0
